sentence,sentence_type
je veux partir de Châteaudun pour Reipertswiller-SP.,from_to
je veux partir de Nevers pour Culoz,from_to
je veux partir de Souillac pour Ventimiglia-Stazione,from_to
je veux partir de Tulle pour Remiremont,from_to
je veux partir de Ste-Marie/-Ms-(-Théâtre pour Droué (Centre),from_to
je veux partir de Ancenis pour Toulon,from_to
je veux partir de Bréauté-Beuzeville pour Bouxwiller-Babenhausen,from_to
je veux partir de Chatillon-Mail pour Cannes-la-Bocca,from_to
je veux partir de Yvetot pour Carcassonne,from_to
je veux partir de Pornic pour Frasne,from_to
je veux partir de Carpentras pour Vittel,from_to
je veux partir de Pont-de-Beauvoisin pour Pau,from_to
je veux partir de Luxembourg pour Bourgoin-Jallieu,from_to
je veux partir de Courtalain-Centre pour Le-Verdon,from_to
je veux partir de WOERTH RHEIN pour Troyes,from_to
je veux partir de Valence-Ville pour Dol,from_to
je veux partir de Pau pour Entzheim-Aéroport,from_to
je veux partir de WOERTH RHEIN pour Ste-Pazanne,from_to
je veux partir de Romorantin-BA-G.R. pour Le Lioran,from_to
je veux partir de Charleroi Sud pour Igney (Centre),from_to
je veux partir de Sèlestat-(Schwilgué) pour Montmédy,from_to
je veux partir de Virieu-le-Grand-Belley pour Bussang (Gare SNCF),from_to
je veux partir de Châteauroux pour Audun-le-Roman,from_to
je veux partir de Vitry-le-François pour Saint-Amand-Montrond-Orval,from_to
je veux partir de Montmélian pour Bas-Monistrol,from_to
je veux partir de Lunéville pour Damblain Eglise,from_to
je veux partir de Annecy pour Biel,from_to
je veux partir de Lugny pour St Quentin,from_to
je veux partir de Macau pour Le Grau-du-Roi,from_to
je veux partir de Strasbourg pour Le-Blanc-Pl-du-Bateau,from_to
je veux partir de Avignon-TGV pour Douai,from_to
je veux partir de Remiremont pour Bruyères (Vosges),from_to
je veux partir de Font-Romeu-Odeillo-Via pour Rambervillers,from_to
je veux partir de Macau pour Dormans,from_to
je veux partir de Saint-Martin-d'Hères pour Reignac-Bourg-Du-Fau,from_to
je veux partir de Blois-Chambord pour Lunel,from_to
je veux partir de Abancourt pour Trier-Hbf (Trèves),from_to
je veux partir de Lugny pour Saverne-(Lycée-Verne),from_to
je veux partir de Pornic pour Pontarlier,from_to
je veux partir de Riquewihr-Poste pour Montluçon-Ville,from_to
je veux partir de Orléans pour Vienne-Gare-Routière,from_to
je veux partir de Charleville-Mézières pour Chaumont-sur-Tharonne,from_to
je veux partir de Grenoble pour Nouan-le-Fuzelier,from_to
je veux partir de Thann pour Coutances,from_to
je veux partir de Hazebrouck pour Keskastel,from_to
je veux partir de Ingwiller pour Berthelming-Mairie,from_to
je veux partir de Aix-en-Provence pour Lutterbach Tram-train,from_to
je veux partir de Pontarlier pour Saint-Martin-d'Hères,from_to
je veux partir de Reignac pour Ribeauville-Gare-Routiè,from_to
je veux partir de Rue pour Nogent-le-Rotrou,from_to
je veux partir de Saint-Junien pour La Bastide-Saint-Laurent en faisant une escale à Ventimiglia-Stazione,from_to_by
je veux partir de Haguenau-Moulin-Neuf. pour Saint-Flour-Chaudes-Aigues en faisant une escale à Metz-Ville,from_to_by
je veux partir de Ste-Marie-/-Mines-Maire pour Bressuire en faisant une escale à Herbitzheim R. Hambach,from_to_by
je veux partir de Issoire pour Revigny en faisant une escale à Bettembourg,from_to_by
je veux partir de Haguenau pour Oloron-Ste-Marie en faisant une escale à Charmes (Vosges),from_to_by
je veux partir de Dormans pour Neustadt (Weinstr) Hbf en faisant une escale à Argentine,from_to_by
je veux partir de Thiers pour Nancy-Ville en faisant une escale à Arcachon,from_to_by
