sentence,sentence_type
je veux partir de Saarbrücken /Sarrebruck pour Aubrais-(les),from_to
je veux partir de Haguenau-Moulin-Neuf. pour Douai,from_to
je veux partir de Juvancourt pour Sedan,from_to
je veux partir de Pontgibaud-Ville pour WINDEN PFALZ,from_to
je veux partir de Raedersheim pour Saint-Rambert-en-Bugey,from_to
je veux partir de Eguzon pour Besançon-Viotte,from_to
je veux partir de Toulon pour Vauvert,from_to
je veux partir de Mussidan pour Lille Flandres,from_to
je veux partir de Moyen pour Bonneville,from_to
je veux partir de Bussang (Gare SNCF) pour Béthune,from_to
je veux partir de Gramat pour Truyes-Saint-Blaise,from_to
je veux partir de Laval pour Contrexéville,from_to
je veux partir de Saint-Pierre-le-Moûtier pour Rang du Fl. Verton Ber.,from_to
je veux partir de Etang pour Saverne-(Ht-Barr),from_to
je veux partir de Romans-Bourg-de-Péage pour Jeumont,from_to
je veux partir de Metzeral pour Rouen-Gare-Routière,from_to
je veux partir de Albert pour Saint-Martin-d'Hères,from_to
je veux partir de Bordeaux-Saint-Jean pour Saint-Sulpice-sur-Lèze,from_to
je veux partir de Saint-Germain-des-Fossés pour Pierrelatte,from_to
je veux partir de Port-de-Piles pour Le-Mont-Dore-Gare,from_to
je veux partir de Dieppe pour Saint-Raphaël-Valescure,from_to
je veux partir de Le Valdahon pour Saint-Flour-les-Allées,from_to
je veux partir de Mirecourt (Lycée Agric) pour Ettendorf-Pl-de-L'ecol,from_to
je veux partir de Macau pour Lourdes,from_to
je veux partir de Arvant pour Saint-Brieuc,from_to
je veux partir de Saint-André-le-Gaz pour Laon-Gare-Routière-Poma,from_to
je veux partir de Argentine pour Ingwiller,from_to
je veux partir de Erstein pour Mouscron / Moeskroen,from_to
je veux partir de Valençay pour Fismes,from_to
je veux partir de Le Havre pour Nouan-le-Fuzelier,from_to
je veux partir de Neufchateau-Lp pour Saint-Georges-d'Aurac,from_to
je veux partir de Mulhouse pour Douai,from_to
je veux partir de Courtalain-Centre pour Marvejols Place Chayla,from_to
je veux partir de Limeray pour Corcieux Le Conti,from_to
je veux partir de Clisson pour Cambo-les-Bains,from_to
je veux partir de Aurillac pour Jougne,from_to
je veux partir de Nancy-Ville pour Luxembourg,from_to
je veux partir de Saint-Pierre-de-Chandieu-R pour Pamiers,from_to
je veux partir de Niedermodern/Uberach pour Neustadt (Weinstr) Hbf,from_to
je veux partir de Les Granges-Narboz pour Bar-le-Duc,from_to
je veux partir de Bléré-la-Croix pour Villefranche-sur-Saône,from_to
je veux partir de Nouzonville pour Chartres-Gare-Routière,from_to
je veux partir de Monaco-Monte-Carlo pour Saint-Flour-les-Allées,from_to
je veux partir de Vallon-en-Sully pour Nouan-le-Fuzelier,from_to
je veux partir de Châteauroux Gare Rout. pour Sarrebourg,from_to
je veux partir de Dreux pour Rennes,from_to
je veux partir de Argenton-sur-Creuse pour Metz-Ville,from_to
je veux partir de Castres pour Saint-George-d'Aurac-Bourg,from_to
je veux partir de Coutras pour Pagny-sur-Moselle,from_to
je veux partir de Calais Fréthun pour Pornic,from_to
je veux partir de Lyon-Saint-Paul pour La-Rochelle-Pt-Dauphine,from_to
je veux partir de Marseille-Saint-Charles pour Creil,from_to
je veux partir de Figeac pour Wingen-sur-Moder,from_to
je veux partir de Pornic pour Argenton-sur-Creuse,from_to
