sentence,sentence_type
je veux partir de Sarrebourg (Place Math) pour Thann Arrêt La Poste,from_to
Je quitte Neuilly-lès-Dijon pour Le Buisson,from_to
itinéraire de voyage de Retiers vers Condat-le-Lardin,from_to
Quel est l'itinéraire entre Gramat et Le-Verdon,from_to
Quel trajet pour Ettendorf-Pl-de-L'ecol Les Sables-d'Olonne,from_to
Quel est l'itinéraire entre Dijon-Porte-Neuve et Corbigny,from_to
je viens de Decize et je veux aller à Pornic,from_to
trajet Baroncourt Paris Gare du Nord,from_to
itinéraire Niort Arches,from_to
le départ et l'arrivée de mon voyage sont respectivement Bort-les-Orgues et Veynes-Dévoluy,from_to
L'arrivée et le départ de mon voyage sont respectivement Audun-le-Roman et Ancizes-Saint-Georges-Bour,from_to
Ma provenance et ma destination sont respectivement La Chaise-Dieu et Loches-LEP,from_to
j'aimerais partir de Crépy-en-Valois pour me rendre à Vezin-Carrefour,from_to
Je suis à Le Dorat et je souhaite me rendre à Basel-SBB,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Mussidan et gare de Breil-sur-Roya,from_to
nous voulons aller du pont du Vienne-Gare-Routière jusqu'à Saint-Etienne-Chtx GR,from_to
ils veulent aller de Wingen-sur-Moder jusqu'à Auxonne,from_to
Je veux le trajet de Willer-sur-Thur à Chamberry-Jacob,from_to
Je veux aller de Oissel à Nancy-Ville,from_to
Depuis Saint-Martin-d'Hères à Montélimar-G-Routière,from_to
Itinéraire Issoudun-Jardin Orange,from_to
Emmène moi de Vif à Saint-George-d'Aurac-Bourg,from_to
de Epinal à Villefranche-Vernet-l.B,from_to
Quel trajet pour Autun Epierre-Saint-Léger,from_to
Je suis à Cannes-la-Bocca et je veux aller à Decize,from_to
J'aimerais me rendre sur Bitche-Camp en partant de La Bresse Le Lispach,to_from
arrivée Le Mont Dore Ski et départ Belfort-Ville,to_from
j'aimerais me rendre à Châlons-en-Champagne en quittant Creil,to_from
Guide moi de Vienne-Gare-Routière vers Sucé-Sur-Erdre,to_from
Trouve un train partant de Cernay-(Lycée) et allant à Vallorbe-Cff,to_from
Indique moi le chemin pour Virieu-le-Grand-Belley depuis Romorantin-Blanc-Argent,to_from
Ma destination et ma provenance sont respectivement Remiremont et Mulhouse-Gare-Centrale,to_from
Je me rends à Port-de-Piles en partant de Vif,to_from
J'irai bien à la gare de austerlitz depuis la gare de Cerbère,to_from
Donne moi l'itinéraire pour aller à Dormans en partant de Bresse-Claudel (la),to_from
Je veux me rendre à Villedieu (Gare) en partant de Luçay-le-Male,to_from
Comment aller à Aillevillers depuis Montélimar-G-Routière,to_from
Allons à Boussens depuis Neuchâtel,to_from
Itiniréraire jusqu'a La-Bresse (Pl Champtel) depuis Pont-de-Dore,to_from
itinéraire jusqu'a Saint-Sulpice (Tarn) en partant de Epernay,to_from
Je veux trouver un trajet de Villedieu (Gare) à Chinon,from_to
Trouve le chemin pour Vernon-Giverny depuis Saint-Gervais-Ch-LPA.,to_from
Comment me rendre à Sarralbe depuis Lesparre,to_from
